ConvertedCompYearly,Age,YearsCode,YearsCodePro,Country,EdLevel,DevType,Employment,LanguageHaveWorkedWith,DatabaseHaveWorkedWith,PlatformHaveWorkedWith,WebframeHaveWorkedWith,ToolsTechHaveWorkedWith
108098.0,45-54 years old,22,20,Austria,Some college/university study without earning a degree,"Developer, full-stack;DevOps specialist","Independent contractor, freelancer, or self-employed","['HTML/CSS', 'JavaScript', 'Perl', 'SQL']","['Elasticsearch', 'PostgreSQL', 'Redis', 'SQLite']",['Google Cloud Platform'],"['jQuery', 'Vue.js']","['Ansible', 'Docker', 'Git', 'Kubernetes']"
6981.0,25-34 years old,11,4,India,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Engineer, data;Data or business analyst",Employed full-time,"['C', 'C++', 'Java', 'Python', 'SQL']","['Elasticsearch', 'MySQL', 'PostgreSQL']","['AWS', 'Google Cloud Platform', 'Microsoft Azure']",[],"['Docker', 'Kubernetes']"
64044.0,35-44 years old,23,14,South Africa,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end;Developer, QA or test",Employed full-time,"['Bash/Shell', 'Clojure', 'HTML/CSS', 'Java', 'JavaScript', 'Python', 'Rust', 'TypeScript']","['Elasticsearch', 'PostgreSQL', 'Redis', 'SQLite']",['Microsoft Azure'],"['FastAPI', 'Flask', 'jQuery', 'React.js']","['Ansible', 'Docker', 'Git']"
206815.0,45-54 years old,37,10,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack;Developer, back-end",Employed full-time,"['Bash/Shell', 'Go', 'HTML/CSS', 'JavaScript', 'Node.js', 'Python']","['Cassandra', 'Redis']",['Microsoft Azure'],"['ASP.NET Core ', 'Flask', 'React.js', 'Vue.js']","['Deno', 'Docker', 'Git', 'Kubernetes', 'Terraform']"
16679.0,45-54 years old,40,33,South Africa,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Developer, full-stack;Other (please specify):","Independent contractor, freelancer, or self-employed","['HTML/CSS', 'JavaScript', 'PHP']","['MariaDB', 'MySQL']",[],"['jQuery', 'Ruby on Rails']",['Git']
18000.0,25-34 years old,15,12,"Congo, Republic of the...","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Engineer, data;Developer, back-end;Database administrator;Data or business analyst;Educator",Employed full-time,"['C', 'C#', 'C++', 'HTML/CSS', 'Java', 'JavaScript', 'PHP', 'SQL', 'TypeScript', 'VBA']","['Firebase', 'MariaDB', 'Microsoft SQL Server', 'MySQL', 'Oracle', 'SQLite']","['IBM Cloud or Watson', 'Microsoft Azure']","['Angular', 'Angular.js', 'ASP.NET', 'ASP.NET Core ', 'Django', 'Express', 'Flask', 'jQuery', 'Spring', 'Symfony']","['Docker', 'Git', 'Kubernetes', 'Unity 3D', 'Xamarin']"
64260.0,25-34 years old,3,1,Denmark,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, front-end;Developer, back-end",Employed full-time,"['Clojure', 'Java', 'Node.js', 'PowerShell']",['PostgreSQL'],['AWS'],['React.js'],"['Git', 'Terraform']"
64737.0,25-34 years old,8,3,Norway,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;DevOps specialist",Employed full-time,"['Bash/Shell', 'C#', 'Go', 'HTML/CSS', 'JavaScript', 'Node.js', 'Python', 'TypeScript']",['MongoDB'],['Microsoft Azure'],['React.js'],"['Docker', 'Git', 'Kubernetes', 'Yarn']"
56723.0,25-34 years old,7,3,Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, embedded applications or devices",Employed full-time,"['Bash/Shell', 'Python']",[],[],[],"['Docker', 'Git']"
5700.0,Under 18 years old,4,3,"Iran, Islamic Republic of...","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Developer, mobile;Developer, game or graphics","Independent contractor, freelancer, or self-employed","['Dart', 'Go', 'Python']","['MySQL', 'PostgreSQL', 'SQLite']",[],['Vue.js'],"['Docker', 'Git']"
85000.0,18-24 years old,5,1,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",Employed full-time,"['C#', 'Java', 'TypeScript']",['MySQL'],[],"['ASP.NET', 'Spring']",['Git']
23640.0,18-24 years old,8,6,Brazil,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Engineer, site reliability",Employed full-time,"['C#', 'HTML/CSS', 'JavaScript', 'Node.js', 'TypeScript']","['DynamoDB', 'MongoDB', 'PostgreSQL', 'Redis']",['AWS'],['Express'],"['Docker', 'Git']"
84019.0,25-34 years old,11,9,United Kingdom of Great Britain and Northern Ireland,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Developer, full-stack;Developer, back-end",Employed full-time,"['C++', 'HTML/CSS', 'PHP']",['MySQL'],['AWS'],['Symfony'],[]
10932.0,25-34 years old,13,1,Poland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, desktop or enterprise applications;Developer, back-end",Employed part-time,"['C#', 'C++', 'Delphi', 'HTML/CSS', 'JavaScript', 'Python', 'Rust', 'SQL', 'TypeScript']","['Microsoft SQL Server', 'PostgreSQL', 'Redis', 'SQLite']","['AWS', 'Google Cloud Platform', 'Microsoft Azure']","['ASP.NET Core ', 'Django', 'React.js']",['Git']
23386.0,25-34 years old,10,8,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",Employed full-time,"['Java', 'JavaScript', 'SQL']","['Firebase', 'Microsoft SQL Server', 'MongoDB', 'Oracle']",[],"['Angular', 'jQuery', 'Spring']","['Docker', 'Git']"
71340.0,25-34 years old,6,4,Estonia,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Engineer, data",Employed full-time,"['Python', 'Scala', 'SQL']",['Microsoft SQL Server'],"['Google Cloud Platform', 'Microsoft Azure']",[],['Git']
37632.0,25-34 years old,19,12,Chile,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, desktop or enterprise applications;Developer, back-end",Employed full-time,"['Bash/Shell', 'Java', 'JavaScript', 'Python', 'SQL']","['Oracle', 'PostgreSQL']","['AWS', 'Google Cloud Platform']",['Spring'],"['Docker', 'Git']"
34896.0,18-24 years old,6,3,Latvia,Some college/university study without earning a degree,"Other (please specify):;Developer, back-end",Employed full-time,"['Java', 'JavaScript', 'Node.js', 'TypeScript']","['DynamoDB', 'Elasticsearch', 'Firebase', 'Oracle']","['AWS', 'Google Cloud Platform']",['React.js'],"['Git', 'Terraform', 'Yarn']"
75000.0,25-34 years old,4,3,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Data or business analyst,Employed full-time,['VBA'],[],[],[],[]
31176.0,55-64 years old,20,20,Czech Republic,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack;System administrator",Employed part-time,"['C', 'C#', 'HTML/CSS', 'JavaScript', 'Perl']",['PostgreSQL'],['AWS'],['ASP.NET Core '],"['Docker', 'Git', 'Terraform']"
55224.0,25-34 years old,2,Less than 1 year,Sweden,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack;Developer, back-end",Employed full-time,"['C#', 'Julia', 'PowerShell', 'Python', 'R', 'SQL', 'TypeScript']",['MySQL'],[],"['Angular', 'ASP.NET', 'ASP.NET Core ']",['Git']
41232.0,35-44 years old,18,15,Brazil,Some college/university study without earning a degree,"Developer, full-stack",Employed full-time,"['Java', 'JavaScript', 'Node.js', 'SQL']","['MariaDB', 'MySQL', 'PostgreSQL', 'Redis']","['AWS', 'DigitalOcean']","['Express', 'jQuery', 'Ruby on Rails', 'Spring', 'Vue.js']",['Docker']
51300.0,35-44 years old,19,16,"Iran, Islamic Republic of...","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile;Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end;Academic researcher;Data or business analyst;Engineering manager;Product manager","Independent contractor, freelancer, or self-employed","['C#', 'HTML/CSS', 'JavaScript', 'Node.js', 'SQL', 'TypeScript']","['Microsoft SQL Server', 'MySQL']",[],"['Angular', 'Angular.js', 'ASP.NET', 'jQuery']",[]
35028.0,25-34 years old,5,2,The former Yugoslav Republic of Macedonia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack","Independent contractor, freelancer, or self-employed","['C', 'HTML/CSS', 'JavaScript', 'Matlab', 'Node.js', 'PowerShell', 'Python', 'SQL']","['MongoDB', 'MySQL', 'PostgreSQL', 'SQLite']","['DigitalOcean', 'Heroku']","['Django', 'Express', 'Flask', 'jQuery', 'React.js']","['Docker', 'Git']"
31776.0,25-34 years old,9,4,Finland,"Other doctoral degree (Ph.D., Ed.D., etc.)",Academic researcher;Scientist,Employed full-time,"['C', 'C#', 'C++', 'HTML/CSS', 'Python', 'Rust']",[],['Microsoft Azure'],"['ASP.NET', 'ASP.NET Core ']",['Git']
100000.0,35-44 years old,15,10,United States of America,"Other doctoral degree (Ph.D., Ed.D., etc.)",Academic researcher;Educator,Employed full-time,"['Bash/Shell', 'C', 'C#', 'Haskell', 'HTML/CSS', 'Java', 'PowerShell', 'Python', 'SQL']","['MariaDB', 'MongoDB', 'MySQL']",[],[],"['Git', 'Xamarin']"
24000.0,55-64 years old,43,43,"Venezuela, Bolivarian Republic of...",Some college/university study without earning a degree,"Developer, full-stack","Independent contractor, freelancer, or self-employed","['JavaScript', 'PHP', 'SQL']",['MariaDB'],[],['jQuery'],['Git']
64859.0,35-44 years old,23,5,Netherlands,Some college/university study without earning a degree,"Engineer, data;Data or business analyst",Employed full-time,"['JavaScript', 'PHP', 'PowerShell', 'Python', 'SQL', 'VBA']","['Microsoft SQL Server', 'MySQL', 'PostgreSQL']",['AWS'],['jQuery'],"['Docker', 'Git']"
40000.0,18-24 years old,5,3,United States of America,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Academic researcher,Employed part-time,"['Dart', 'Node.js', 'Python', 'TypeScript']","['Firebase', 'MySQL']",[],['React.js'],['Git']
77556.0,35-44 years old,28,14,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",Employed full-time,"['Bash/Shell', 'C#', 'Dart', 'JavaScript', 'Node.js', 'PHP', 'Python', 'SQL', 'TypeScript']","['DynamoDB', 'Elasticsearch', 'MariaDB', 'MongoDB', 'SQLite']","['AWS', 'DigitalOcean', 'Google Cloud Platform']","['ASP.NET', 'ASP.NET Core ', 'Laravel', 'Vue.js']","['Docker', 'Git', 'Terraform']"
70186.0,55-64 years old,35,33,Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack;Designer",Employed full-time,"['C', 'C++', 'HTML/CSS', 'JavaScript', 'Node.js', 'Python', 'SQL', 'TypeScript']","['PostgreSQL', 'SQLite']",['DigitalOcean'],['Vue.js'],"['Git', 'Yarn']"
56723.0,25-34 years old,8,3,Canada,"Associate degree (A.A., A.S., etc.)",DevOps specialist,Employed full-time,"['Bash/Shell', 'Go', 'JavaScript', 'PowerShell', 'Python']","['MySQL', 'PostgreSQL', 'SQLite']",['AWS'],"['Express', 'Flask', 'React.js', 'Vue.js']","['Ansible', 'Docker', 'Git', 'Terraform']"
9432.0,25-34 years old,15,1,Turkmenistan,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile",Employed full-time,['Dart'],['SQLite'],[],[],['Git']
41184.0,25-34 years old,5,2,Netherlands,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end",Employed full-time,['Rust'],[],['Microsoft Azure'],[],[]
34591.0,35-44 years old,21,17,France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end;Scientist;System administrator",Employed full-time,"['JavaScript', 'Python', 'SQL']",['PostgreSQL'],[],['Flask'],['Git']
160000.0,35-44 years old,14,12,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",Employed full-time,"['Bash/Shell', 'Groovy', 'Java', 'JavaScript']","['Elasticsearch', 'MySQL', 'Redis']","['AWS', 'DigitalOcean', 'Google Cloud Platform', 'IBM Cloud or Watson', 'Microsoft Azure', 'Oracle Cloud Infrastructure']",['jQuery'],"['Ansible', 'Chef', 'Docker', 'Git', 'Kubernetes', 'Terraform']"
36645.0,25-34 years old,9,6,Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Developer, front-end;Developer, full-stack;Developer, back-end;DevOps specialist",Employed full-time,"['Bash/Shell', 'C#', 'Haskell', 'HTML/CSS', 'JavaScript', 'Node.js', 'TypeScript']","['DynamoDB', 'Firebase']","['AWS', 'Google Cloud Platform', 'Microsoft Azure']","['Angular', 'ASP.NET Core ', 'React.js']","['Docker', 'Git', 'Terraform']"
61200.0,,2,1,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack;Database administrator;Scientist",Employed full-time,"['PowerShell', 'SQL', 'VBA']",['Microsoft SQL Server'],[],[],[]
447528.0,35-44 years old,21,15,Portugal,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end",Employed full-time,"['Bash/Shell', 'Go', 'Kotlin']","['MySQL', 'PostgreSQL', 'Redis']",['AWS'],[],"['Docker', 'Git', 'Terraform']"
109871.0,35-44 years old,19,15,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack;Developer, back-end",Employed full-time,"['C#', 'TypeScript']","['Microsoft SQL Server', 'Redis']",['Microsoft Azure'],"['Angular', 'ASP.NET', 'ASP.NET Core ']",['Git']
61200.0,18-24 years old,6,3,United States of America,Some college/university study without earning a degree,"Developer, full-stack",Employed full-time,"['Bash/Shell', 'HTML/CSS', 'JavaScript', 'Node.js', 'Python', 'TypeScript']","['MariaDB', 'MongoDB', 'SQLite']",['AWS'],"['Express', 'FastAPI', 'Vue.js']","['Git', 'Yarn']"
6384.0,25-34 years old,8,5,Peru,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end;Developer, full-stack;Developer, back-end",Employed full-time,"['C#', 'HTML/CSS', 'JavaScript', 'Node.js', 'PowerShell', 'SQL', 'TypeScript']","['Microsoft SQL Server', 'MySQL', 'PostgreSQL']",['Microsoft Azure'],"['Angular', 'Angular.js', 'ASP.NET', 'ASP.NET Core ', 'jQuery']","['Docker', 'Git']"
22701.0,18-24 years old,8,3,Italy,Some college/university study without earning a degree,"Developer, full-stack",Employed full-time,"['HTML/CSS', 'Java', 'JavaScript', 'Node.js', 'PHP', 'Python', 'Rust', 'SQL', 'TypeScript']","['Firebase', 'MariaDB', 'MongoDB', 'PostgreSQL', 'Redis']","['AWS', 'Heroku']","['Angular', 'Angular.js', 'Express', 'Flask', 'jQuery', 'React.js', 'Spring']","['Git', 'Yarn']"
2076.0,18-24 years old,1,Less than 1 year,Nigeria,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Data scientist or machine learning specialist;Data or business analyst,Employed full-time,"['R', 'SQL']","['MySQL', 'PostgreSQL', 'SQLite']",['Microsoft Azure'],[],['Git']
98321.0,18-24 years old,5,1,Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",Employed full-time,"['Dart', 'Go', 'HTML/CSS', 'Java', 'Node.js', 'SQL', 'TypeScript']","['Firebase', 'PostgreSQL']","['AWS', 'Google Cloud Platform']",['Spring'],['Git']
18156.0,18-24 years old,5,2,Italy,"Professional degree (JD, MD, etc.)","Developer, front-end",Employed full-time,"['Bash/Shell', 'C', 'C#', 'Go', 'HTML/CSS', 'Java', 'JavaScript', 'Node.js', 'PHP', 'Python', 'SQL']","['Elasticsearch', 'Microsoft SQL Server', 'MongoDB', 'MySQL', 'Oracle', 'PostgreSQL', 'Redis', 'SQLite']","['AWS', 'DigitalOcean', 'Google Cloud Platform', 'Microsoft Azure']","['Angular.js', 'ASP.NET', 'ASP.NET Core ', 'Express', 'jQuery']","['Docker', 'Git', 'Yarn']"
25131.0,18-24 years old,4,1,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack;Data or business analyst",Employed full-time,"['C', 'C++', 'HTML/CSS', 'Java', 'JavaScript', 'Python', 'TypeScript']","['Firebase', 'PostgreSQL', 'SQLite']",[],"['Angular', 'Django', 'Flask', 'jQuery']","['Docker', 'Git']"
26244.0,35-44 years old,23,10,Taiwan,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, front-end;Developer, full-stack;Data scientist or machine learning specialist;Developer, back-end;Data or business analyst;Marketing or sales professional",Employed full-time,"['Bash/Shell', 'HTML/CSS', 'JavaScript', 'Node.js', 'PHP', 'PowerShell', 'R', 'SQL', 'TypeScript', 'VBA']","['Firebase', 'MariaDB', 'Microsoft SQL Server', 'MongoDB', 'MySQL', 'PostgreSQL', 'Redis', 'SQLite']","['AWS', 'DigitalOcean', 'Google Cloud Platform', 'Microsoft Azure']","['jQuery', 'Laravel', 'React.js', 'Vue.js']",['Git']
2513.0,18-24 years old,5,Less than 1 year,India,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, front-end",Employed full-time,"['HTML/CSS', 'Java', 'JavaScript', 'PHP', 'SQL']","['Firebase', 'MySQL']",[],['React.js'],['Git']
85385.0,35-44 years old,20,9,Switzerland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end;Database administrator;System administrator",Employed part-time,"['C#', 'C++', 'Groovy', 'HTML/CSS', 'Java', 'JavaScript', 'Node.js', 'PHP', 'Python', 'Ruby', 'SQL']","['Elasticsearch', 'Firebase', 'MariaDB', 'MySQL', 'PostgreSQL', 'Redis', 'SQLite']","['AWS', 'Google Cloud Platform', 'Heroku']","['Laravel', 'Spring', 'Vue.js']","['Ansible', 'Docker', 'Git', 'Puppet', 'Terraform']"
8377.0,25-34 years old,4,4,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack;Developer, back-end;System administrator;Product manager","Independent contractor, freelancer, or self-employed","['HTML/CSS', 'Python']",['PostgreSQL'],"['AWS', 'Google Cloud Platform']",['Django'],['Git']
54049.0,35-44 years old,20,15,Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;DevOps specialist;Engineering manager;Senior Executive (C-Suite, VP, etc.)",Employed full-time,"['Bash/Shell', 'Go', 'Python', 'SQL']","['Oracle', 'PostgreSQL', 'Redis']",['AWS'],[],"['Docker', 'Git']"
45241.0,25-34 years old,9,7,United Kingdom of Great Britain and Northern Ireland,"Associate degree (A.A., A.S., etc.)","Developer, full-stack;Developer, back-end",Employed full-time,"['HTML/CSS', 'JavaScript', 'PHP', 'SQL']","['Microsoft SQL Server', 'MySQL']","['DigitalOcean', 'Microsoft Azure']","['jQuery', 'Laravel']","['Git', 'Unity 3D']"
100000.0,25-34 years old,9,5,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",Employed full-time,"['Bash/Shell', 'C#', 'HTML/CSS', 'JavaScript', 'Node.js', 'Python', 'SQL', 'TypeScript']","['Couchbase', 'MySQL']","['DigitalOcean', 'IBM Cloud or Watson', 'Microsoft Azure']","['Angular', 'ASP.NET', 'React.js']",['Git']
50844.0,35-44 years old,18,11,Poland,Some college/university study without earning a degree,"Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end;Designer",Employed full-time,"['C#', 'HTML/CSS', 'TypeScript']",['Microsoft SQL Server'],[],"['Angular', 'ASP.NET']",['Git']
8292.0,25-34 years old,15,8,Philippines,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, embedded applications or devices",Employed full-time,"['Assembly', 'C', 'C#', 'C++', 'HTML/CSS', 'Java', 'JavaScript']","['Microsoft SQL Server', 'MySQL', 'Oracle', 'PostgreSQL', 'SQLite']",['AWS'],"['jQuery', 'React.js', 'Spring']","['Git', 'Unity 3D', 'Xamarin', 'Yarn']"
44100.0,18-24 years old,7,1,Belgium,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Other (please specify):;Data or business analyst,Employed full-time,"['Bash/Shell', 'HTML/CSS', 'Java', 'Matlab', 'PowerShell', 'Python', 'SQL', 'VBA']",['MySQL'],[],[],['Git']
